tweet_text,cyberbullying_type
You represent the filth of society,other_cyberbullying
Go to hell right now,other_cyberbullying
You are a horrible person,other_cyberbullying
You are an idiot stop talking,other_cyberbullying
You are completely ignorant of facts,other_cyberbullying
You are a jerk to everyone,other_cyberbullying
You are a liar and a cheat,other_cyberbullying
You look like a loser today,other_cyberbullying
You are a lunatic person,other_cyberbullying
Stop being a maniac please,other_cyberbullying
This is very nasty behavior,other_cyberbullying
You are a psycho person,other_cyberbullying
You are racist against us,other_cyberbullying
You are the scum of the earth,other_cyberbullying
This is shameful behavior,other_cyberbullying
You are so shameless it hurts,other_cyberbullying
Stop acting like a slave,other_cyberbullying
You are just a slob,other_cyberbullying
You act like a slut,other_cyberbullying
You are so stupid it is sad,other_cyberbullying
You are a thief and a liar,other_cyberbullying
You are trash to me,other_cyberbullying
You are so ugly inside out,other_cyberbullying
You are a weak person,other_cyberbullying
You are a weirdo honestly,other_cyberbullying
You are a whore go away,other_cyberbullying
You are a witch go away,other_cyberbullying
Stop being a worm,other_cyberbullying
You are a zero in life,other_cyberbullying
Stop acting like a zombie,other_cyberbullying
You act like a animal,other_cyberbullying
Stop being a beast,other_cyberbullying
